Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Ali Boumnijel,Tunisia,1,GK, (1966-04-13),48,,Club Africain,Tunisia,2006-06-09
Karim Essediri,Tunisia,2,DF, (1979-07-29),7,,Rosenborg,Norway,2006-06-09
Karim Haggui,Tunisia,3,DF, (1984-01-21),26,,Strasbourg,France,2006-06-09
Alaeddine Yahia,Tunisia,4,DF, (1981-09-26),13,,Saint-Étienne,France,2006-06-09
Ziad Jaziri,Tunisia,5,FW, (1978-07-12),61,,Troyes,France,2006-06-09
Hatem Trabelsi,Tunisia,6,DF, (1977-01-25),56,,Ajax,Netherlands,2006-06-09
Haykel Guemamdia,Tunisia,7,FW, (1981-12-22),13,,Strasbourg[82],France,2006-06-09
Mehdi Nafti,Tunisia,8,MF, (1978-11-28),29,,Birmingham City,England,2006-06-09
Yassine Chikhaoui,Tunisia,9,MF, (1986-09-02),1,,Étoile du Sahel,Tunisia,2006-06-09
Kaies Ghodhbane,Tunisia,10,MF, (1976-01-07),89,,Konyaspor,Turkey,2006-06-09
Francileudo Santos,Tunisia,11,FW, (1979-03-20),28,,Toulouse,France,2006-06-09
Jawhar Mnari,Tunisia,12,MF, (1976-11-08),37,,1. FC Nürnberg,Germany,2006-06-09
Riadh Bouazizi (c),Tunisia,13,MF, (1973-04-08),85,,Kayseri Erciyesspor,Turkey,2006-06-09
Adel Chedli,Tunisia,14,MF, (1976-09-16),38,,1. FC Nürnberg,Germany,2006-06-09
Radhi Jaïdi,Tunisia,15,DF, (1975-08-30),89,,Bolton Wanderers,England,2006-06-09
Adel Nefzi,Tunisia,16,GK, (1974-03-16),0,,Monastir,Tunisia,2006-06-09
Chaouki Ben Saada,Tunisia,17,FW, (1984-07-01),11,,Bastia[83],France,2006-06-09
David Jemmali,Tunisia,18,DF, (1974-12-13),2,,Bordeaux,France,2006-06-09
Anis Ayari,Tunisia,19,DF, (1982-02-16),24,,Samsunspor,Turkey,2006-06-09
Hamed Namouchi,Tunisia,20,MF, (1984-01-12),14,,Rangers,Scotland,2006-06-09
Karim Saidi,Tunisia,21,DF, (1983-03-24),15,,Feyenoord[84],Netherlands,2006-06-09
Hamdi Kasraoui,Tunisia,22,GK, (1983-01-18),6,,Espérance de Tunis,Tunisia,2006-06-09
Sofiane Melliti,Tunisia,23,MF, (1978-08-18),14,,Gaziantepspor,Turkey,2006-06-09
