Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Carlos Kameni,Cameroon,1,GK, (1984-02-18),58,,Espanyol,Spain
Benoît Assou-Ekotto,Cameroon,2,DF, (1984-03-24),4,,Tottenham Hotspur,England
Nicolas Nkoulou,Cameroon,3,DF, (1990-03-27),6,,Monaco,France
Rigobert Song,Cameroon,4,DF, (1976-07-01),133,,Trabzonspor,Turkey
Sébastien Bassong,Cameroon,5,DF, (1986-07-09),3,,Tottenham Hotspur,England
Alex Song,Cameroon,6,MF, (1987-09-09),20,,Arsenal,England
Landry N'Guémo,Cameroon,7,MF, (1985-11-28),17,,Celtic,Scotland
Geremi,Cameroon,8,DF, (1978-12-20),109,,Ankaragücü,Turkey
Samuel Eto'o (c),Cameroon,9,FW, (1981-03-10),92,,Inter Milan,Italy
Achille Emaná,Cameroon,10,MF, (1982-06-05),32,,Real Betis,Spain
Jean Makoun,Cameroon,11,MF, (1983-05-29),46,,Lyon,France
Gaëtan Bong,Cameroon,12,DF, (1988-04-25),0,,Valenciennes,France
Eric Maxim Choupo-Moting,Cameroon,13,FW, (1989-03-23),0,,1. FC Nürnberg,Germany
Aurélien Chedjou,Cameroon,14,DF, (1985-06-20),8,,Lille,France
Pierre Webó,Cameroon,15,FW, (1982-01-20),39,,Mallorca,Spain
Souleymanou Hamidou,Cameroon,16,GK, (1973-11-22),40,,Kayserispor,Turkey
Mohammadou Idrissou,Cameroon,17,FW, (1980-03-08),28,,SC Freiburg,Germany
Eyong Enoh,Cameroon,18,MF, (1986-03-23),12,,Ajax,Netherlands
Stéphane Mbia,Cameroon,19,DF, (1986-05-20),29,,Marseille,France
Georges Mandjeck,Cameroon,20,MF, (1988-12-09),4,,1. FC Kaiserslautern,Germany
Joël Matip,Cameroon,21,MF, (1991-08-08),1,,Schalke 04,Germany
Guy N'dy Assembé,Cameroon,22,GK, (1986-02-28),0,,Valenciennes,France
Vincent Aboubakar,Cameroon,23,FW, (1992-01-22),0,,Cotonsport Garoua,Cameroon
