Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Óscar Pérez,Mexico,1,GK, (1973-02-01),52,,Chiapas,Mexico
Francisco Rodríguez,Mexico,2,DF, (1981-10-20),48,,PSV Eindhoven,Netherlands
Carlos Salcido,Mexico,3,DF, (1980-04-02),73,,PSV Eindhoven,Netherlands
Rafael Márquez,Mexico,4,DF, (1979-02-13),91,,Barcelona,Spain
Ricardo Osorio,Mexico,5,DF, (1980-03-30),76,,VfB Stuttgart,Germany
Gerardo Torrado,Mexico,6,MF, (1979-04-30),114,,Cruz Azul,Mexico
Pablo Barrera,Mexico,7,MF, (1987-06-21),21,,UNAM,Mexico
Israel Castro,Mexico,8,MF, (1980-12-29),31,,UNAM,Mexico
Guillermo Franco,Mexico,9,FW, (1976-11-03),21,,West Ham United,England
Cuauhtémoc Blanco (c),Mexico,10,FW, (1973-01-17),115,,Veracruz,Mexico
Carlos Vela,Mexico,11,FW, (1989-03-01),28,,Arsenal,England
Paul Aguilar,Mexico,12,DF, (1986-03-06),10,,Pachuca,Mexico
Guillermo Ochoa,Mexico,13,GK, (1985-07-13),37,,América,Mexico
Javier Hernández,Mexico,14,FW, (1988-06-01),12,,Guadalajara,Mexico
Héctor Moreno,Mexico,15,DF, (1988-01-17),10,,AZ,Netherlands
Efraín Juárez,Mexico,16,DF, (1988-02-22),19,,UNAM,Mexico
Giovani dos Santos,Mexico,17,FW, (1989-05-11),26,,Galatasaray,Turkey
Andrés Guardado,Mexico,18,MF, (1986-09-28),56,,Deportivo La Coruña,Spain
Jonny Magallón,Mexico,19,DF, (1981-11-21),52,,Guadalajara,Mexico
Jorge Torres Nilo,Mexico,20,DF, (1988-01-16),8,,Atlas,Mexico
Adolfo Bautista,Mexico,21,FW, (1979-05-15),37,,Guadalajara,Mexico
Alberto Medina,Mexico,22,MF, (1983-05-29),56,,Guadalajara,Mexico
Luis Ernesto Michel,Mexico,23,GK, (1979-07-21),4,,Guadalajara,Mexico
