Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Maarten Stekelenburg,Netherlands,1,GK, (1982-09-22),25,,Ajax,Netherlands,2010-06-11
Gregory van der Wiel,Netherlands,2,DF, (1988-02-03),8,,Ajax,Netherlands,2010-06-11
John Heitinga,Netherlands,3,DF, (1983-11-15),51,,Everton,England,2010-06-11
Joris Mathijsen,Netherlands,4,DF, (1980-04-05),53,,Hamburger SV,Germany,2010-06-11
Giovanni van Bronckhorst (c),Netherlands,5,DF, (1975-02-05),97,,Feyenoord,Netherlands,2010-06-11
Mark van Bommel,Netherlands,6,MF, (1977-04-22),54,,Bayern Munich,Germany,2010-06-11
Dirk Kuyt,Netherlands,7,FW, (1980-07-22),60,,Liverpool,England,2010-06-11
Nigel de Jong,Netherlands,8,MF, (1984-11-30),40,,Manchester City,England,2010-06-11
Robin van Persie,Netherlands,9,FW, (1983-08-06),41,,Arsenal,England,2010-06-11
Wesley Sneijder,Netherlands,10,MF, (1984-06-09),59,,Inter Milan,Italy,2010-06-11
Arjen Robben,Netherlands,11,FW, (1984-01-23),46,,Bayern Munich,Germany,2010-06-11
Khalid Boulahrouz,Netherlands,12,DF, (1981-12-28),28,,VfB Stuttgart,Germany,2010-06-11
André Ooijer,Netherlands,13,DF, (1974-07-11),53,,PSV Eindhoven,Netherlands,2010-06-11
Demy de Zeeuw,Netherlands,14,MF, (1983-05-26),23,,Ajax,Netherlands,2010-06-11
Edson Braafheid,Netherlands,15,DF, (1983-04-08),5,,Celtic,Scotland,2010-06-11
Michel Vorm,Netherlands,16,GK, (1983-10-20),3,,Utrecht,Netherlands,2010-06-11
Eljero Elia,Netherlands,17,FW, (1987-02-13),5,,Hamburger SV,Germany,2010-06-11
Stijn Schaars,Netherlands,18,MF, (1984-01-11),11,,AZ,Netherlands,2010-06-11
Ryan Babel,Netherlands,19,FW, (1986-12-19),38,,Liverpool,England,2010-06-11
Ibrahim Afellay,Netherlands,20,MF, (1986-04-02),20,,PSV Eindhoven,Netherlands,2010-06-11
Klaas-Jan Huntelaar,Netherlands,21,FW, (1983-08-12),30,,Milan,Italy,2010-06-11
Sander Boschker,Netherlands,22,GK, (1970-10-20),1[7],,Twente,Netherlands,2010-06-11
Rafael van der Vaart,Netherlands,23,MF, (1983-02-11),75,,Real Madrid,Spain,2010-06-11
