Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Mark Paston,New Zealand,1,GK, (1976-12-13),23,,Wellington Phoenix,Australia
Ben Sigmund,New Zealand,2,DF, (1981-02-03),14,,Wellington Phoenix,Australia
Tony Lochhead,New Zealand,3,DF, (1982-01-12),30,,Wellington Phoenix,Australia
Winston Reid,New Zealand,4,DF, (1988-07-03),3,,Midtjylland,Denmark
Ivan Vicelich,New Zealand,5,DF, (1976-09-03),66,,Auckland City,New Zealand
Ryan Nelsen (c),New Zealand,6,DF, (1977-10-18),41,,Blackburn Rovers,England
Simon Elliott,New Zealand,7,MF, (1974-06-10),63,,Unattached,
Tim Brown,New Zealand,8,MF, (1981-03-06),25,,Wellington Phoenix,Australia
Shane Smeltz,New Zealand,9,FW, (1981-09-29),30,,Gold Coast United,Australia
Chris Killen,New Zealand,10,FW, (1981-10-08),31,,Middlesbrough,England
Leo Bertos,New Zealand,11,MF, (1981-12-20),34,,Wellington Phoenix,Australia
Glen Moss,New Zealand,12,GK, (1983-01-19),15,,Melbourne Victory,Australia
Andy Barron,New Zealand,13,MF, (1980-12-24),11,,Team Wellington,New Zealand
Rory Fallon,New Zealand,14,FW, (1982-03-20),7,,Plymouth Argyle,England
Michael McGlinchey,New Zealand,15,MF, (1987-01-07),5,,Motherwell[8],Scotland
Aaron Clapham,New Zealand,16,MF, (1987-01-01),0,,Canterbury United,New Zealand
Dave Mulligan,New Zealand,17,MF, (1982-03-24),25,,Unattached,
Andrew Boyens,New Zealand,18,DF, (1983-09-18),15,,New York Red Bulls,United States
Tommy Smith,New Zealand,19,DF, (1990-03-31),4,,Ipswich Town,England
Chris Wood,New Zealand,20,FW, (1991-12-07),9,,West Bromwich Albion,England
Jeremy Christie,New Zealand,21,MF, (1983-05-22),22,,FC Tampa Bay,United States
Jeremy Brockie,New Zealand,22,MF, (1987-10-07),18,,Newcastle Jets,Australia
James Bannatyne,New Zealand,23,GK, (1975-06-30),3,,Team Wellington,New Zealand
