Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Vincent Enyeama,Nigeria,1,GK, (1982-08-29),51,,Hapoel Tel Aviv,Israel
Joseph Yobo,Nigeria,2,DF, (1980-09-06),64,,Everton,England
Taye Taiwo,Nigeria,3,DF, (1985-04-16),35,,Marseille,France
Nwankwo Kanu (c),Nigeria,4,FW, (1976-08-01),72,,Portsmouth,England
Rabiu Afolabi,Nigeria,5,DF, (1980-04-18),12,,Red Bull Salzburg,Austria
Danny Shittu,Nigeria,6,DF, (1980-09-02),23,,Bolton Wanderers,England
John Utaka,Nigeria,7,FW, (1982-01-08),41,,Portsmouth,England
Yakubu,Nigeria,8,FW, (1982-11-22),47,,Everton,England
Obafemi Martins,Nigeria,9,FW, (1984-10-28),27,,VfL Wolfsburg,Germany
Brown Ideye[4],Nigeria,10,FW, (1988-10-10),0,,Sochaux,France
Peter Odemwingie,Nigeria,11,FW, (1981-07-15),43,,Lokomotiv Moscow,Russia
Kalu Uche,Nigeria,12,FW, (1982-11-15),18,,Almería,Spain
Ayila Yussuf,Nigeria,13,MF, (1984-11-04),24,,Dynamo Kyiv,Ukraine
Sani Kaita,Nigeria,14,MF, (1986-05-02),16,,Alania Vladikavkaz,Russia
Lukman Haruna,Nigeria,15,MF, (1990-12-04),5,,Monaco,France
Austin Ejide,Nigeria,16,GK, (1984-04-08),16,,Hapoel Petah Tikva,Israel
Chidi Odiah,Nigeria,17,DF, (1983-12-17),21,,CSKA Moscow,Russia
Victor Obinna,Nigeria,18,FW, (1987-03-25),30,,Málaga,Spain
Chinedu Obasi,Nigeria,19,FW, (1986-06-01),17,,1899 Hoffenheim,Germany
Dickson Etuhu,Nigeria,20,MF, (1982-06-08),11,,Fulham,England
Elderson Echiéjilé,Nigeria,21,DF, (1988-01-20),9,,Rennes,France
Dele Adeleye,Nigeria,22,DF, (1988-12-25),5,,Sparta Rotterdam,Netherlands
Dele Aiyenugba,Nigeria,23,GK, (1983-11-20),9,,Bnei Yehuda,Israel
