Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Vladimir Stojković,Serbia,1,GK, (1983-07-29),33,,Wigan Athletic,England,2010-06-11
Antonio Rukavina,Serbia,2,DF, (1984-01-26),20,,1860 Munich,Germany,2010-06-11
Aleksandar Kolarov,Serbia,3,DF, (1985-11-10),13,,Lazio,Italy,2010-06-11
Gojko Kačar,Serbia,4,MF, (1987-01-26),17,,Hertha BSC,Germany,2010-06-11
Nemanja Vidić,Serbia,5,DF, (1981-10-21),45,,Manchester United,England,2010-06-11
Branislav Ivanović,Serbia,6,DF, (1984-02-22),31,,Chelsea,England,2010-06-11
Zoran Tošić,Serbia,7,MF, (1987-04-28),21,,1. FC Köln,Germany,2010-06-11
Danko Lazović,Serbia,8,FW, (1983-05-17),37,,Zenit Saint Petersburg,Russia,2010-06-11
Marko Pantelić,Serbia,9,FW, (1978-09-15),32,,Ajax,Netherlands,2010-06-11
Dejan Stanković (c),Serbia,10,MF, (1978-09-11),88,,Inter Milan,Italy,2010-06-11
Nenad Milijaš,Serbia,11,MF, (1983-04-30),17,,Wolverhampton Wanderers,England,2010-06-11
Bojan Isailović,Serbia,12,GK, (1980-03-25),4,,Zagłębie Lubin,Poland,2010-06-11
Aleksandar Luković,Serbia,13,DF, (1982-10-23),21,,Udinese,Italy,2010-06-11
Milan Jovanović,Serbia,14,MF, (1981-04-18),26,,Standard Liège,Belgium,2010-06-11
Nikola Žigić,Serbia,15,FW, (1980-09-25),45,,Valencia,Spain,2010-06-11
Ivan Obradović,Serbia,16,DF, (1988-07-25),12,,Zaragoza,Spain,2010-06-11
Miloš Krasić,Serbia,17,MF, (1984-11-01),31,,CSKA Moscow,Russia,2010-06-11
Miloš Ninković,Serbia,18,MF, (1984-12-25),9,,Dynamo Kyiv,Ukraine,2010-06-11
Radosav Petrović,Serbia,19,MF, (1989-03-08),9,,Partizan,Serbia,2010-06-11
Neven Subotić,Serbia,20,DF, (1988-12-10),13,,Borussia Dortmund,Germany,2010-06-11
Dragan Mrđa,Serbia,21,FW, (1984-01-23),6,,Vojvodina,Serbia,2010-06-11
Zdravko Kuzmanović,Serbia,22,MF, (1987-09-22),27,,VfB Stuttgart,Germany,2010-06-11
Anđelko Đuričić,Serbia,23,GK, (1980-11-21),1,,União de Leiria,Portugal,2010-06-11
