Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Ján Mucha,Slovakia,1,GK, (1982-12-05),15,,Legia Warsaw,Poland,2010-06-11
Peter Pekarík,Slovakia,2,DF, (1986-10-30),21,,VfL Wolfsburg,Germany,2010-06-11
Martin Škrtel,Slovakia,3,DF, (1984-12-15),39,,Liverpool,England,2010-06-11
Marek Čech,Slovakia,4,DF, (1983-01-26),40,,West Bromwich Albion,England,2010-06-11
Radoslav Zabavník,Slovakia,5,DF, (1980-09-16),44,,Mainz 05,Germany,2010-06-11
Zdeno Štrba,Slovakia,6,MF, (1976-06-09),21,,Skoda Xanthi,Greece,2010-06-11
Vladimír Weiss,Slovakia,7,MF, (1989-11-30),9,,Bolton Wanderers,England,2010-06-11
Ján Kozák,Slovakia,8,MF, (1980-04-22),24,,Timișoara,Romania,2010-06-11
Stanislav Šesták,Slovakia,9,MF, (1982-12-16),33,,VfL Bochum,Germany,2010-06-11
Marek Sapara,Slovakia,10,MF, (1982-07-31),25,,Ankaragücü,Turkey,2010-06-11
Róbert Vittek,Slovakia,11,FW, (1982-04-01),70,,Ankaragücü,Turkey,2010-06-11
Dušan Perniš,Slovakia,12,GK, (1984-11-28),3,,Dundee United,Scotland,2010-06-11
Filip Hološko,Slovakia,13,FW, (1984-01-17),38,,Beşiktaş,Turkey,2010-06-11
Martin Jakubko,Slovakia,14,FW, (1980-02-26),24,,Saturn Moscow Oblast,Russia,2010-06-11
Miroslav Stoch,Slovakia,15,MF, (1989-10-19),12,,Twente,Netherlands,2010-06-11
Ján Ďurica,Slovakia,16,DF, (1981-12-10),39,,Hannover 96,Germany,2010-06-11
Marek Hamšík (c),Slovakia,17,MF, (1987-07-27),32,,Napoli,Italy,2010-06-11
Erik Jendrišek,Slovakia,18,FW, (1986-10-26),15,,1. FC Kaiserslautern,Germany,2010-06-11
Juraj Kucka,Slovakia,19,MF, (1987-02-26),6,,Sparta Prague,Czech Republic,2010-06-11
Kamil Kopúnek,Slovakia,20,MF, (1984-05-18),9,,Spartak Trnava,Slovakia,2010-06-11
Kornel Saláta,Slovakia,21,DF, (1985-01-04),4,,Slovan Bratislava,Slovakia,2010-06-11
Martin Petráš,Slovakia,22,DF, (1979-11-02),38,,Cesena,Italy,2010-06-11
Dušan Kuciak,Slovakia,23,GK, (1985-05-21),3,,Vaslui,Romania,2010-06-11
