Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Cédric Si Mohamed,Algeria,1,GK, (1985-01-09),1,,CS Constantine,Algeria,2014-06-12
Madjid Bougherra (c),Algeria,2,DF, (1982-10-07),62,,Lekhwiya[143],Qatar,2014-06-12
Faouzi Ghoulam,Algeria,3,DF, (1991-02-01),6,,Napoli,Italy,2014-06-12
Essaïd Belkalem,Algeria,4,DF, (1989-01-01),13,,Watford,England,2014-06-12
Rafik Halliche,Algeria,5,DF, (1986-09-02),29,,Académica de Coimbra,Portugal,2014-06-12
Djamel Mesbah,Algeria,6,DF, (1984-10-09),26,,Livorno,Italy,2014-06-12
Hassan Yebda,Algeria,7,MF, (1984-05-14),25,,Udinese,Italy,2014-06-12
Mehdi Lacen,Algeria,8,MF, (1984-05-15),30,,Getafe,Spain,2014-06-12
Nabil Ghilas,Algeria,9,FW, (1990-04-20),5,,Porto,Portugal,2014-06-12
Sofiane Feghouli,Algeria,10,MF, (1989-12-26),19,,Valencia,Spain,2014-06-12
Yacine Brahimi,Algeria,11,MF, (1990-02-08),6,,Granada,Spain,2014-06-12
Carl Medjani,Algeria,12,DF, (1985-05-15),26,,Valenciennes,France,2014-06-12
Islam Slimani,Algeria,13,FW, (1988-06-18),20,,Sporting CP,Portugal,2014-06-12
Nabil Bentaleb,Algeria,14,MF, (1994-11-24),3,,Tottenham Hotspur,England,2014-06-12
Hillal Soudani,Algeria,15,FW, (1987-11-25),22,,Dinamo Zagreb,Croatia,2014-06-12
Mohamed Zemmamouche,Algeria,16,GK, (1985-03-19),7,,USM Alger,Algeria,2014-06-12
Liassine Cadamuro-Bentaïba,Algeria,17,DF, (1988-03-05),7,,Mallorca,Spain,2014-06-12
Abdelmoumene Djabou,Algeria,18,MF, (1987-01-31),8,,Club Africain,Tunisia,2014-06-12
Saphir Taïder,Algeria,19,MF, (1992-02-29),11,,Inter Milan,Italy,2014-06-12
Aïssa Mandi,Algeria,20,DF, (1991-10-22),2,,Reims,France,2014-06-12
Riyad Mahrez,Algeria,21,MF, (1991-02-21),2,,Leicester City,England,2014-06-12
Mehdi Mostefa,Algeria,22,MF, (1983-08-30),23,,Ajaccio,France,2014-06-12
Raïs M'Bolhi,Algeria,23,GK, (1986-04-25),28,,CSKA Sofia,Bulgaria,2014-06-12
