Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Keylor Navas,Costa Rica,1,GK, (1986-12-15),53,,Levante,Spain,2014-06-12
Jhonny Acosta,Costa Rica,2,DF, (1983-07-21),25,,Alajuelense,Costa Rica,2014-06-12
Giancarlo González,Costa Rica,3,DF, (1988-02-08),35,,Columbus Crew,United States,2014-06-12
Michael Umaña,Costa Rica,4,DF, (1982-07-16),83,,Saprissa,Costa Rica,2014-06-12
Celso Borges,Costa Rica,5,MF, (1988-05-27),63,,AIK,Sweden,2014-06-12
Óscar Duarte,Costa Rica,6,DF, (1989-06-03),11,,Club Brugge,Belgium,2014-06-12
Christian Bolaños,Costa Rica,7,MF, (1984-05-17),55,,Copenhagen,Denmark,2014-06-12
David Myrie[64],Costa Rica,8,DF, (1988-06-01),10,,Herediano,Costa Rica,2014-06-12
Joel Campbell,Costa Rica,9,FW, (1992-06-26),33,,Olympiacos[65],Greece,2014-06-12
Bryan Ruiz (c),Costa Rica,10,FW, (1985-08-18),63,,PSV Eindhoven[66],Netherlands,2014-06-12
Michael Barrantes,Costa Rica,11,MF, (1983-10-04),50,,Aalesund,Norway,2014-06-12
Waylon Francis,Costa Rica,12,DF, (1990-09-20),1,,Columbus Crew,United States,2014-06-12
Óscar Granados,Costa Rica,13,MF, (1985-10-25),11,,Herediano,Costa Rica,2014-06-12
Randall Brenes,Costa Rica,14,FW, (1983-08-13),39,,Cartaginés,Costa Rica,2014-06-12
Júnior Díaz,Costa Rica,15,DF, (1983-09-12),62,,Mainz 05,Germany,2014-06-12
Cristian Gamboa,Costa Rica,16,DF, (1989-10-24),25,,Rosenborg,Norway,2014-06-12
Yeltsin Tejeda,Costa Rica,17,MF, (1992-03-17),22,,Saprissa,Costa Rica,2014-06-12
Patrick Pemberton,Costa Rica,18,GK, (1982-04-24),21,,Alajuelense,Costa Rica,2014-06-12
Roy Miller,Costa Rica,19,DF, (1984-11-24),48,,New York Red Bulls,United States,2014-06-12
Diego Calvo,Costa Rica,20,MF, (1991-03-25),10,,Vålerenga,Norway,2014-06-12
Marco Ureña,Costa Rica,21,FW, (1990-03-05),24,,Kuban Krasnodar,Russia,2014-06-12
José Miguel Cubero,Costa Rica,22,MF, (1987-02-14),35,,Herediano,Costa Rica,2014-06-12
Daniel Cambronero,Costa Rica,23,GK, (1986-01-08),4,,Herediano,Costa Rica,2014-06-12
