Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Orestis Karnezis,Greece,1,GK, (1985-07-11),19,,Granada[56],Spain,2014-06-12
Giannis Maniatis,Greece,2,MF, (1986-10-12),30,,Olympiacos,Greece,2014-06-12
Giorgos Tzavellas,Greece,3,DF, (1987-11-26),13,,PAOK,Greece,2014-06-12
Kostas Manolas,Greece,4,DF, (1991-06-14),9,,Olympiacos,Greece,2014-06-12
Vangelis Moras,Greece,5,DF, (1981-08-26),19,,Hellas Verona,Italy,2014-06-12
Alexandros Tziolis,Greece,6,MF, (1985-02-13),49,,Kayserispor[57],Turkey,2014-06-12
Georgios Samaras,Greece,7,FW, (1985-02-21),74,,Celtic[58],Scotland,2014-06-12
Panagiotis Kone,Greece,8,MF, (1987-07-26),16,,Bologna,Italy,2014-06-12
Kostas Mitroglou,Greece,9,FW, (1988-03-12),32,,Fulham,England,2014-06-12
Giorgos Karagounis (c),Greece,10,MF, (1977-03-06),135,,Fulham,England,2014-06-12
Loukas Vyntra,Greece,11,DF, (1981-02-05),50,,Levante,Spain,2014-06-12
Panagiotis Glykos,Greece,12,GK, (1986-06-03),2,,PAOK,Greece,2014-06-12
Stefanos Kapino,Greece,13,GK, (1994-03-18),2,,Panathinaikos,Greece,2014-06-12
Dimitris Salpingidis,Greece,14,FW, (1981-08-18),76,,PAOK,Greece,2014-06-12
Vasilis Torosidis,Greece,15,DF, (1985-06-10),66,,Roma,Italy,2014-06-12
Lazaros Christodoulopoulos,Greece,16,MF, (1986-12-19),19,,Bologna,Italy,2014-06-12
Theofanis Gekas,Greece,17,FW, (1980-05-23),72,,Konyaspor,Turkey,2014-06-12
Giannis Fetfatzidis,Greece,18,MF, (1990-12-21),19,,Genoa,Italy,2014-06-12
Sokratis Papastathopoulos,Greece,19,DF, (1988-06-09),47,,Borussia Dortmund,Germany,2014-06-12
José Holebas,Greece,20,DF, (1984-06-27),22,,Olympiacos,Greece,2014-06-12
Kostas Katsouranis,Greece,21,MF, (1979-06-21),111,,PAOK,Greece,2014-06-12
Andreas Samaris,Greece,22,MF, (1989-06-13),4,,Olympiacos,Greece,2014-06-12
Panagiotis Tachtsidis,Greece,23,MF, (1991-02-15),6,,Torino,Italy,2014-06-12
