Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Luis López,Honduras,1,GK, (1993-09-13),0,,Real España,Honduras
Osman Chávez,Honduras,2,DF, (1984-07-29),54,,Qingdao Jonoon[96],China
Maynor Figueroa,Honduras,3,DF, (1983-05-02),105,,Hull City,England
Juan Pablo Montes,Honduras,4,DF, (1985-10-26),11,,Motagua,Honduras
Víctor Bernárdez,Honduras,5,DF, (1982-05-24),78,,San Jose Earthquakes,United States
Juan Carlos García,Honduras,6,DF, (1988-03-08),34,,Wigan Athletic,England
Emilio Izaguirre,Honduras,7,DF, (1986-05-10),68,,Celtic,Scotland
Wilson Palacios,Honduras,8,MF, (1984-07-29),95,,Stoke City,England
Jerry Palacios,Honduras,9,FW, (1981-11-01),24,,Alajuelense,Costa Rica
Mario Martínez,Honduras,10,MF, (1989-07-30),37,,Real España,Honduras
Jerry Bengtson,Honduras,11,FW, (1987-04-08),44,,New England Revolution,United States
Edder Delgado[97],Honduras,12,MF, (1986-11-20),26,,Real España,Honduras
Carlo Costly,Honduras,13,FW, (1982-07-18),70,,Real España,Honduras
Boniek García,Honduras,14,MF, (1984-09-04),92,,Houston Dynamo,United States
Roger Espinoza,Honduras,15,MF, (1986-10-25),42,,Wigan Athletic,England
Rony Martínez,Honduras,16,FW, (1987-10-16),12,,CD Real Sociedad,Honduras
Andy Najar,Honduras,17,MF, (1993-03-16),17,,Anderlecht,Belgium
Noel Valladares (c),Honduras,18,GK, (1977-05-03),122,,Olimpia,Honduras
Luis Garrido,Honduras,19,MF, (1990-11-05),20,,Olimpia,Honduras
Jorge Claros,Honduras,20,MF, (1986-01-08),49,,Motagua,Honduras
Brayan Beckeles,Honduras,21,DF, (1985-11-28),23,,Olimpia,Honduras
Donis Escober,Honduras,22,GK, (1980-02-03),26,,Olimpia,Honduras
Marvin Chávez,Honduras,23,MF, (1983-11-03),42,,Chivas USA,United States
