Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Boubacar Barry,Ivory Coast,1,GK, (1979-12-30),77,,Lokeren,Belgium
Ousmane Viera,Ivory Coast,2,DF, (1986-12-21),1,,Çaykur Rizespor,Turkey
Arthur Boka,Ivory Coast,3,DF, (1983-04-02),78,,VfB Stuttgart,Germany
Kolo Touré,Ivory Coast,4,DF, (1981-03-19),107,,Liverpool,England
Didier Zokora,Ivory Coast,5,DF, (1980-12-14),119,,Trabzonspor[60],Turkey
Mathis Bolly,Ivory Coast,6,FW, (1990-11-14),4,,Fortuna Düsseldorf,Germany
Jean-Daniel Akpa Akpro,Ivory Coast,7,DF, (1992-10-11),1,,Toulouse,France
Salomon Kalou,Ivory Coast,8,FW, (1985-08-05),67,,Lille,France
Cheick Tioté,Ivory Coast,9,MF, (1986-06-21),43,,Newcastle United,England
Gervinho,Ivory Coast,10,FW, (1987-05-27),53,,Roma,Italy
Didier Drogba (c),Ivory Coast,11,FW, (1978-03-11),101,,Galatasaray,Turkey
Wilfried Bony,Ivory Coast,12,FW, (1988-12-10),24,,Swansea City,Wales
Didier Ya Konan,Ivory Coast,13,FW, (1984-05-22),25,,Hannover 96,Germany
Ismaël Diomandé,Ivory Coast,14,MF, (1992-08-28),2,,Saint-Étienne,France
Max Gradel,Ivory Coast,15,FW, (1987-11-30),26,,Saint-Étienne,France
Sylvain Gbohouo,Ivory Coast,16,GK, (1988-10-29),2,,Séwé Sport,Ivory Coast
Serge Aurier,Ivory Coast,17,DF, (1992-12-24),8,,Toulouse,France
Constant Djakpa,Ivory Coast,18,DF, (1986-10-17),5,,Eintracht Frankfurt,Germany
Yaya Touré,Ivory Coast,19,MF, (1983-05-13),82,,Manchester City,England
Serey Dié,Ivory Coast,20,MF, (1984-11-07),7,,Basel,Switzerland
Giovanni Sio,Ivory Coast,21,FW, (1989-03-31),7,,Basel,Switzerland
Sol Bamba,Ivory Coast,22,DF, (1985-01-13),43,,Trabzonspor,Turkey
Sayouba Mandé,Ivory Coast,23,GK, (1993-06-15),1,,Stabæk,Norway
