Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Igor Akinfeev,Russia,1,GK, (1986-04-08),68,,CSKA Moscow,Russia,2014-06-12
Aleksei Kozlov,Russia,2,DF, (1986-11-16),11,,Dynamo Moscow,Russia,2014-06-12
Georgi Shchennikov,Russia,3,DF, (1991-04-27),4,,CSKA Moscow,Russia,2014-06-12
Sergei Ignashevich,Russia,4,DF, (1979-07-14),96,,CSKA Moscow,Russia,2014-06-12
Andrei Semyonov,Russia,5,DF, (1989-03-24),1,,Terek Grozny,Russia,2014-06-12
Maksim Kanunnikov,Russia,6,FW, (1991-07-14),2,,Amkar Perm[150],Russia,2014-06-12
Igor Denisov,Russia,7,MF, (1984-05-17),43,,Dynamo Moscow,Russia,2014-06-12
Denis Glushakov,Russia,8,MF, (1987-01-27),26,,Spartak Moscow,Russia,2014-06-12
Aleksandr Kokorin,Russia,9,FW, (1991-03-19),21,,Dynamo Moscow,Russia,2014-06-12
Alan Dzagoev,Russia,10,MF, (1990-06-17),32,,CSKA Moscow,Russia,2014-06-12
Aleksandr Kerzhakov,Russia,11,FW, (1982-11-27),80,,Zenit Saint Petersburg,Russia,2014-06-12
Yuri Lodygin,Russia,12,GK, (1990-05-26),3,,Zenit Saint Petersburg,Russia,2014-06-12
Vladimir Granat,Russia,13,DF, (1987-05-22),5,,Dynamo Moscow,Russia,2014-06-12
Vasili Berezutski (c),Russia,14,DF, (1982-06-20),78,,CSKA Moscow,Russia,2014-06-12
Pavel Mogilevets,Russia,15,MF, (1993-01-25),1,,Rubin Kazan[151],Russia,2014-06-12
Sergey Ryzhikov,Russia,16,GK, (1980-09-19),1,,Rubin Kazan,Russia,2014-06-12
Oleg Shatov,Russia,17,MF, (1990-07-29),7,,Zenit Saint Petersburg,Russia,2014-06-12
Yuri Zhirkov,Russia,18,DF, (1983-08-20),60,,Dynamo Moscow,Russia,2014-06-12
Aleksandr Samedov,Russia,19,FW, (1984-07-19),17,,Lokomotiv Moscow,Russia,2014-06-12
Viktor Fayzulin,Russia,20,MF, (1986-04-22),19,,Zenit Saint Petersburg,Russia,2014-06-12
Aleksei Ionov,Russia,21,FW, (1989-02-18),5,,Dynamo Moscow,Russia,2014-06-12
Andrey Yeshchenko,Russia,22,DF, (1984-02-09),12,,Anzhi Makhachkala[152],Russia,2014-06-12
Dmitri Kombarov,Russia,23,DF, (1987-01-22),22,,Spartak Moscow,Russia,2014-06-12
