Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Fernando Muslera,Uruguay,1,GK, (1986-06-16),58,,Galatasaray,Turkey,2014-06-12
Diego Lugano,Uruguay,2,DF, (1980-11-02),94,,West Bromwich Albion,England,2014-06-12
Diego Godín (c),Uruguay,3,DF, (1986-02-16),77,,Atlético Madrid,Spain,2014-06-12
Jorge Fucile,Uruguay,4,DF, (1984-11-19),42,,Porto[80],Portugal,2014-06-12
Walter Gargano,Uruguay,5,MF, (1984-07-23),63,,Parma,Italy,2014-06-12
Álvaro Pereira,Uruguay,6,MF, (1985-11-28),57,,São Paulo,Brazil,2014-06-12
Cristian Rodríguez,Uruguay,7,MF, (1985-09-30),73,,Atlético Madrid,Spain,2014-06-12
Abel Hernández,Uruguay,8,FW, (1990-08-08),12,,Palermo,Italy,2014-06-12
Luis Suárez,Uruguay,9,FW, (1987-01-24),77,,Liverpool,England,2014-06-12
Diego Forlán,Uruguay,10,FW, (1979-05-19),110,,Cerezo Osaka,Japan,2014-06-12
Cristhian Stuani,Uruguay,11,FW, (1986-10-12),10,,Espanyol,Spain,2014-06-12
Rodrigo Muñoz,Uruguay,12,GK, (1982-01-22),0,,Libertad,Paraguay,2014-06-12
José Giménez,Uruguay,13,DF, (1995-01-20),6,,Atlético Madrid,Spain,2014-06-12
Nicolás Lodeiro,Uruguay,14,MF, (1989-03-21),26,,Botafogo,Brazil,2014-06-12
Diego Pérez,Uruguay,15,MF, (1980-05-18),89,,Bologna,Italy,2014-06-12
Maxi Pereira,Uruguay,16,DF, (1984-06-08),90,,Benfica,Portugal,2014-06-12
Egidio Arévalo Ríos,Uruguay,17,MF, (1982-01-01),55,,Morelia[81],Mexico,2014-06-12
Gastón Ramírez,Uruguay,18,MF, (1990-12-02),29,,Southampton,England,2014-06-12
Sebastián Coates,Uruguay,19,DF, (1990-10-07),15,,Nacional[82],Uruguay,2014-06-12
Álvaro González,Uruguay,20,MF, (1984-10-29),43,,Lazio,Italy,2014-06-12
Edinson Cavani,Uruguay,21,FW, (1987-02-14),62,,Paris Saint-Germain,France,2014-06-12
Martín Cáceres,Uruguay,22,DF, (1987-04-07),57,,Juventus,Italy,2014-06-12
Martín Silva,Uruguay,23,GK, (1983-03-25),4,,Vasco da Gama,Brazil,2014-06-12
