Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Mathew Ryan,Australia,1,GK, (1992-04-08),44,0,Brighton & Hove Albion,England,2018-06-14
Miloš Degenek,Australia,2,DF, (1994-04-28),18,0,Yokohama F. Marinos,Japan,2018-06-14
James Meredith,Australia,3,DF, (1988-04-05),2,0,Millwall,England,2018-06-14
Tim Cahill,Australia,4,FW, (1979-12-06),106,50,Millwall,England,2018-06-14
Mark Milligan,Australia,5,DF, (1985-08-04),71,6,Al Ahli,Saudi Arabia,2018-06-14
Matthew Jurman,Australia,6,DF, (1989-12-08),4,0,Suwon Samsung Bluewings,South Korea,2018-06-14
Mathew Leckie,Australia,7,FW, (1991-02-04),53,8,Hertha BSC,Germany,2018-06-14
Massimo Luongo,Australia,8,MF, (1992-09-25),36,5,Queens Park Rangers,England,2018-06-14
Tomi Juric,Australia,9,FW, (1991-07-22),35,8,Luzern,Switzerland,2018-06-14
Robbie Kruse,Australia,10,FW, (1988-10-05),64,5,VfL Bochum,Germany,2018-06-14
Andrew Nabbout,Australia,11,FW, (1992-12-17),4,1,Urawa Red Diamonds,Japan,2018-06-14
Brad Jones,Australia,12,GK, (1982-03-19),6,0,Feyenoord,Netherlands,2018-06-14
Aaron Mooy,Australia,13,MF, (1990-09-15),34,5,Huddersfield Town,England,2018-06-14
Jamie Maclaren,Australia,14,FW, (1993-07-29),6,0,Hibernian,Scotland,2018-06-14
Mile Jedinak (captain),Australia,15,MF, (1984-08-03),76,18,Aston Villa,England,2018-06-14
Aziz Behich,Australia,16,DF, (1990-12-16),23,2,Bursaspor,Turkey,2018-06-14
Daniel Arzani,Australia,17,FW, (1999-01-04),2,1,Melbourne City,Australia,2018-06-14
Danny Vukovic,Australia,18,GK, (1985-03-27),1,0,Genk,Belgium,2018-06-14
Josh Risdon,Australia,19,DF, (1992-07-27),8,0,Western Sydney Wanderers,Australia,2018-06-14
Trent Sainsbury,Australia,20,DF, (1992-01-05),35,3,Grasshopper,Switzerland,2018-06-14
Dimitri Petratos,Australia,21,FW, (1992-11-10),2,0,Newcastle Jets,Australia,2018-06-14
Jackson Irvine,Australia,22,MF, (1993-03-07),19,2,Hull City,England,2018-06-14
Tom Rogic,Australia,23,MF, (1992-12-16),37,7,Celtic,Scotland,2018-06-14
