Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
David Ospina,Colombia,1,GK, (1988-08-31),86,0,Arsenal,England
Cristián Zapata,Colombia,2,DF, (1986-09-30),55,2,Milan,Italy
Óscar Murillo,Colombia,3,DF, (1988-04-18),13,0,Pachuca,Mexico
Santiago Arias,Colombia,4,DF, (1992-01-13),41,0,PSV Eindhoven,Netherlands
Wilmar Barrios,Colombia,5,MF, (1993-10-16),10,0,Boca Juniors,Argentina
Carlos Sánchez,Colombia,6,MF, (1986-02-06),85,0,Espanyol,Spain
Carlos Bacca,Colombia,7,FW, (1986-09-08),45,14,Villarreal,Spain
Abel Aguilar,Colombia,8,MF, (1985-01-06),70,7,Deportivo Cali,Colombia
Radamel Falcao (captain),Colombia,9,FW, (1986-02-10),73,29,Monaco,France
James Rodríguez,Colombia,10,MF, (1991-07-12),63,21,Bayern Munich,Germany
Juan Cuadrado,Colombia,11,MF, (1988-05-26),70,7,Juventus,Italy
Camilo Vargas,Colombia,12,GK, (1989-03-09),5,0,Deportivo Cali,Colombia
Yerry Mina,Colombia,13,DF, (1994-09-23),12,3,Barcelona,Spain
Luis Muriel,Colombia,14,FW, (1991-04-16),18,2,Sevilla,Spain
Mateus Uribe,Colombia,15,MF, (1991-03-21),8,0,América,Mexico
Jefferson Lerma,Colombia,16,MF, (1994-10-25),5,0,Levante,Spain
Johan Mojica,Colombia,17,DF, (1992-08-21),4,1,Girona,Spain
Farid Díaz,Colombia,18,DF, (1983-07-20),13,0,Olimpia,Paraguay
Miguel Borja,Colombia,19,FW, (1993-01-26),7,2,Palmeiras,Brazil
Juan Fernando Quintero,Colombia,20,MF, (1993-01-18),15,2,River Plate,Argentina
José Izquierdo,Colombia,21,FW, (1992-07-07),5,1,Brighton & Hove Albion,England
José Fernando Cuadrado,Colombia,22,GK, (1985-06-01),1,0,Once Caldas,Colombia
Davinson Sánchez,Colombia,23,DF, (1996-06-12),9,0,Tottenham Hotspur,England
