Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Keylor Navas,Costa Rica,1,GK, (1986-12-15),81,0,Real Madrid,Spain
Jhonny Acosta,Costa Rica,2,DF, (1983-07-21),69,2,Águilas Doradas,Colombia
Giancarlo González,Costa Rica,3,DF, (1988-02-08),70,2,Bologna,Italy
Ian Smith,Costa Rica,4,DF, (1998-03-06),4,0,Norrköping,Sweden
Celso Borges,Costa Rica,5,MF, (1988-05-27),113,21,Deportivo La Coruña,Spain
Óscar Duarte,Costa Rica,6,DF, (1989-06-03),39,2,Espanyol,Spain
Christian Bolaños,Costa Rica,7,MF, (1984-05-17),81,6,Saprissa,Costa Rica
Bryan Oviedo,Costa Rica,8,DF, (1990-02-18),44,1,Sunderland,England
Daniel Colindres,Costa Rica,9,MF, (1985-01-10),11,0,Saprissa,Costa Rica
Bryan Ruiz (captain),Costa Rica,10,MF, (1985-08-18),110,24,Sporting CP,Portugal
Johan Venegas,Costa Rica,11,FW, (1988-11-27),47,10,Saprissa,Costa Rica
Joel Campbell,Costa Rica,12,FW, (1992-06-26),77,15,Real Betis,Spain
Rodney Wallace,Costa Rica,13,MF, (1988-06-17),30,4,New York City FC,United States
Randall Azofeifa,Costa Rica,14,MF, (1984-12-30),58,3,Herediano,Costa Rica
Francisco Calvo,Costa Rica,15,DF, (1992-07-08),38,4,Minnesota United,United States
Cristian Gamboa,Costa Rica,16,DF, (1989-10-24),68,3,Celtic,Scotland
Yeltsin Tejeda,Costa Rica,17,MF, (1992-03-17),51,0,Lausanne,Switzerland
Patrick Pemberton,Costa Rica,18,GK, (1982-04-24),39,0,Alajuelense,Costa Rica
Kendall Waston,Costa Rica,19,DF, (1988-01-01),26,3,Vancouver Whitecaps FC,Canada
David Guzmán,Costa Rica,20,MF, (1990-02-18),43,0,Portland Timbers,United States
Marco Ureña,Costa Rica,21,FW, (1990-03-05),64,15,Los Angeles FC,United States
Kenner Gutiérrez,Costa Rica,22,DF, (1989-06-09),9,0,Alajuelense,Costa Rica
Leonel Moreira,Costa Rica,23,GK, (1990-04-02),9,0,Herediano,Costa Rica
