Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Kasper Schmeichel,Denmark,1,GK, (1986-11-05),35,0,Leicester City,England
Michael Krohn-Dehli,Denmark,2,MF, (1983-06-06),59,6,Deportivo La Coruña,Spain
Jannik Vestergaard,Denmark,3,DF, (1992-08-03),16,1,Borussia Mönchengladbach,Germany
Simon Kjær (captain),Denmark,4,DF, (1989-03-26),78,3,Sevilla,Spain
Jonas Knudsen,Denmark,5,DF, (1992-09-16),3,0,Ipswich Town,England
Andreas Christensen,Denmark,6,DF, (1996-04-10),16,1,Chelsea,England
William Kvist,Denmark,7,MF, (1985-02-24),80,2,Copenhagen,Denmark
Thomas Delaney,Denmark,8,MF, (1991-09-03),27,4,Werder Bremen,Germany
Nicolai Jørgensen,Denmark,9,FW, (1991-01-15),31,8,Feyenoord,Netherlands
Christian Eriksen,Denmark,10,MF, (1992-02-14),78,22,Tottenham Hotspur,England
Martin Braithwaite,Denmark,11,FW, (1991-06-05),20,1,Bordeaux,France
Kasper Dolberg,Denmark,12,FW, (1997-10-06),6,1,Ajax,Netherlands
Mathias Jørgensen,Denmark,13,DF, (1990-04-23),12,0,Huddersfield Town,England
Henrik Dalsgaard,Denmark,14,DF, (1989-07-27),11,0,Brentford,England
Viktor Fischer,Denmark,15,FW, (1994-06-09),19,3,Copenhagen,Denmark
Jonas Lössl,Denmark,16,GK, (1989-02-01),1,0,Huddersfield Town,England
Jens Stryger Larsen,Denmark,17,DF, (1991-02-21),13,1,Udinese,Italy
Lukas Lerager,Denmark,18,MF, (1993-07-12),4,0,Bordeaux,France
Lasse Schöne,Denmark,19,MF, (1986-05-27),36,3,Ajax,Netherlands
Yussuf Poulsen,Denmark,20,FW, (1994-06-15),28,4,RB Leipzig,Germany
Andreas Cornelius,Denmark,21,FW, (1993-03-16),18,4,Atalanta,Italy
Frederik Rønnow,Denmark,22,GK, (1992-08-04),6,0,Brøndby,Denmark
Pione Sisto,Denmark,23,FW, (1995-02-04),14,1,Celta Vigo,Spain
