Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Hannes Þór Halldórsson,Iceland,1,GK, (1984-04-27),49,0,Randers,Denmark,2018-06-14
Birkir Már Sævarsson,Iceland,2,DF, (1984-11-11),79,1,Valur,Iceland,2018-06-14
Samúel Friðjónsson,Iceland,3,MF, (1996-02-22),4,0,Vålerenga,Norway,2018-06-14
Albert Guðmundsson,Iceland,4,MF, (1997-06-15),5,3,PSV Eindhoven,Netherlands,2018-06-14
Sverrir Ingi Ingason,Iceland,5,DF, (1993-08-05),20,3,Rostov,Russia,2018-06-14
Ragnar Sigurðsson,Iceland,6,DF, (1986-06-19),77,3,Rostov,Russia,2018-06-14
Jóhann Berg Guðmundsson,Iceland,7,MF, (1990-10-27),67,7,Burnley,England,2018-06-14
Birkir Bjarnason,Iceland,8,MF, (1988-05-27),67,9,Aston Villa,England,2018-06-14
Björn Bergmann Sigurðarson,Iceland,9,FW, (1991-02-26),12,1,Rostov,Russia,2018-06-14
Gylfi Sigurðsson,Iceland,10,MF, (1989-09-08),57,19,Everton,England,2018-06-14
Alfreð Finnbogason,Iceland,11,FW, (1989-02-01),47,13,FC Augsburg,Germany,2018-06-14
Frederik Schram,Iceland,12,GK, (1995-01-19),4,0,Roskilde,Denmark,2018-06-14
Rúnar Alex Rúnarsson,Iceland,13,GK, (1995-02-18),3,0,Nordsjælland,Denmark,2018-06-14
Kári Árnason,Iceland,14,DF, (1982-10-13),67,5,Aberdeen,Scotland,2018-06-14
Hólmar Örn Eyjólfsson,Iceland,15,DF, (1990-08-06),10,1,Levski Sofia,Bulgaria,2018-06-14
Ólafur Ingi Skúlason,Iceland,16,MF, (1983-04-01),36,1,Kardemir Karabükspor,Turkey,2018-06-14
Aron Gunnarsson (captain),Iceland,17,MF, (1989-04-22),77,2,Cardiff City,Wales,2018-06-14
Hörður Björgvin Magnússon,Iceland,18,DF, (1993-02-11),16,2,Bristol City,England,2018-06-14
Rúrik Gíslason,Iceland,19,MF, (1988-02-25),47,3,SV Sandhausen,Germany,2018-06-14
Emil Hallfreðsson,Iceland,20,MF, (1984-06-29),64,1,Udinese,Italy,2018-06-14
Arnór Ingvi Traustason,Iceland,21,MF, (1993-04-30),19,5,Malmö FF,Sweden,2018-06-14
Jón Daði Böðvarsson,Iceland,22,FW, (1992-05-25),38,2,Reading,England,2018-06-14
Ari Freyr Skúlason,Iceland,23,DF, (1987-05-14),56,0,Lokeren,Belgium,2018-06-14
