Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Jaime Penedo,Panama,1,GK, (1981-09-26),131,0,Dinamo București,Romania,2018-06-14
Michael Amir Murillo,Panama,2,DF, (1996-02-11),22,2,New York Red Bulls,United States,2018-06-14
Harold Cummings,Panama,3,DF, (1992-03-01),52,0,San Jose Earthquakes,United States,2018-06-14
Fidel Escobar,Panama,4,DF, (1995-01-09),23,1,New York Red Bulls,United States,2018-06-14
Román Torres,Panama,5,DF, (1986-03-20),111,10,Seattle Sounders FC,United States,2018-06-14
Gabriel Gómez,Panama,6,MF, (1984-05-29),144,12,Atlético Bucaramanga,Colombia,2018-06-14
Blas Pérez,Panama,7,FW, (1981-03-13),118,43,Municipal,Guatemala,2018-06-14
Yoel Bárcenas,Panama,8,MF, (1993-10-23),29,0,Tapachula,Mexico,2018-06-14
Gabriel Torres,Panama,9,FW, (1988-10-31),72,14,Huachipato,Chile,2018-06-14
Ismael Díaz,Panama,10,FW, (1997-05-12),11,2,Deportivo Fabril,Spain,2018-06-14
Armando Cooper,Panama,11,MF, (1987-11-26),98,7,Universidad de Chile,Chile,2018-06-14
José Calderón,Panama,12,GK, (1985-08-14),31,0,Chorrillo,Panama,2018-06-14
Adolfo Machado,Panama,13,DF, (1985-02-14),76,1,Houston Dynamo,United States,2018-06-14
Valentín Pimentel,Panama,14,MF, (1991-05-30),23,1,Plaza Amador,Panama,2018-06-14
Erick Davis,Panama,15,DF, (1991-03-31),38,0,Dunajská Streda,Slovakia,2018-06-14
Abdiel Arroyo,Panama,16,FW, (1993-12-13),33,5,Alajuelense,Costa Rica,2018-06-14
Luis Ovalle,Panama,17,DF, (1988-09-07),25,0,CD Olimpia,Honduras,2018-06-14
Luis Tejada,Panama,18,FW, (1982-03-28),105,43,Sport Boys,Peru,2018-06-14
Ricardo Ávila,Panama,19,MF, (1997-02-04),5,0,Gent,Belgium,2018-06-14
Aníbal Godoy,Panama,20,MF, (1990-02-10),88,1,San Jose Earthquakes,United States,2018-06-14
José Luis Rodríguez,Panama,21,MF, (1998-06-19),2,0,Gent,Belgium,2018-06-14
Álex Rodríguez,Panama,22,GK, (1990-08-05),6,0,San Francisco,Panama,2018-06-14
Felipe Baloy (captain),Panama,23,DF, (1981-02-24),102,3,Municipal,Guatemala,2018-06-14
