Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Pedro Gallese,Peru,1,GK, (1990-02-23),38,0,Veracruz,Mexico,2018-06-14
Alberto Rodríguez,Peru,2,DF, (1984-03-31),74,0,Atlético Junior,Colombia,2018-06-14
Aldo Corzo,Peru,3,DF, (1989-05-20),26,0,Universitario,Peru,2018-06-14
Anderson Santamaría,Peru,4,DF, (1992-01-10),4,0,Puebla,Mexico,2018-06-14
Miguel Araujo,Peru,5,DF, (1994-10-24),8,0,Alianza Lima,Peru,2018-06-14
Miguel Trauco,Peru,6,DF, (1992-08-25),27,0,Flamengo,Brazil,2018-06-14
Paolo Hurtado,Peru,7,MF, (1990-07-27),33,3,Vitória de Guimarães,Portugal,2018-06-14
Christian Cueva,Peru,8,MF, (1991-11-23),46,8,São Paulo,Brazil,2018-06-14
Paolo Guerrero (captain),Peru,9,FW, (1984-01-01),88,34,Flamengo,Brazil,2018-06-14
Jefferson Farfán,Peru,10,FW, (1984-10-26),84,25,Lokomotiv Moscow,Russia,2018-06-14
Raúl Ruidíaz,Peru,11,FW, (1990-07-25),30,4,Morelia,Mexico,2018-06-14
Carlos Cáceda,Peru,12,GK, (1991-09-27),6,0,Deportivo Municipal,Peru,2018-06-14
Renato Tapia,Peru,13,MF, (1995-07-28),33,3,Feyenoord,Netherlands,2018-06-14
Andy Polo,Peru,14,MF, (1994-09-29),17,1,Portland Timbers,United States,2018-06-14
Christian Ramos,Peru,15,DF, (1988-11-04),68,3,Veracruz,Mexico,2018-06-14
Wilder Cartagena,Peru,16,MF, (1994-09-23),3,0,Veracruz,Mexico,2018-06-14
Luis Advíncula,Peru,17,DF, (1990-03-02),67,0,Lobos BUAP,Mexico,2018-06-14
André Carrillo,Peru,18,FW, (1991-06-14),46,5,Watford,England,2018-06-14
Yoshimar Yotún,Peru,19,MF, (1990-04-07),74,2,Orlando City,United States,2018-06-14
Edison Flores,Peru,20,FW, (1994-05-14),30,9,AaB,Denmark,2018-06-14
José Carvallo,Peru,21,GK, (1986-03-01),6,0,UTC,Peru,2018-06-14
Nilson Loyola,Peru,22,DF, (1994-10-26),3,0,Melgar,Peru,2018-06-14
Pedro Aquino,Peru,23,MF, (1995-04-13),14,0,Lobos BUAP,Mexico,2018-06-14
