Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Vladimir Stojković,Serbia,1,GK, (1983-07-28),81,0,Partizan,Serbia
Antonio Rukavina,Serbia,2,DF, (1984-01-26),47,0,Villarreal,Spain
Duško Tošić,Serbia,3,DF, (1985-01-19),24,1,Beşiktaş,Turkey
Luka Milivojević,Serbia,4,MF, (1991-04-07),28,1,Crystal Palace,England
Uroš Spajić,Serbia,5,DF, (1993-02-13),5,0,Anderlecht,Belgium
Branislav Ivanović,Serbia,6,DF, (1984-02-22),103,13,Zenit Saint Petersburg,Russia
Andrija Živković,Serbia,7,MF, (1996-07-11),10,0,Benfica,Portugal
Aleksandar Prijović,Serbia,8,FW, (1990-04-21),9,1,PAOK,Greece
Aleksandar Mitrović,Serbia,9,FW, (1994-09-16),37,16,Fulham,England
Dušan Tadić,Serbia,10,MF, (1988-11-20),53,13,Southampton,England
Aleksandar Kolarov (captain),Serbia,11,DF, (1985-11-10),76,10,Roma,Italy
Predrag Rajković,Serbia,12,GK, (1995-10-31),8,0,Maccabi Tel Aviv,Israel
Miloš Veljković,Serbia,13,DF, (1995-09-26),2,0,Werder Bremen,Germany
Milan Rodić,Serbia,14,DF, (1991-04-02),1,0,Red Star Belgrade,Serbia
Nikola Milenković,Serbia,15,DF, (1997-10-12),3,0,Fiorentina,Italy
Marko Grujić,Serbia,16,MF, (1996-04-13),8,0,Cardiff City,Wales
Filip Kostić,Serbia,17,MF, (1992-11-01),23,2,Hamburger SV,Germany
Nemanja Radonjić,Serbia,18,FW, (1996-02-15),3,0,Red Star Belgrade,Serbia
Luka Jović,Serbia,19,FW, (1997-12-23),1,0,Eintracht Frankfurt,Germany
Sergej Milinković-Savić,Serbia,20,MF, (1995-02-27),4,0,Lazio,Italy
Nemanja Matić,Serbia,21,MF, (1988-08-01),40,2,Manchester United,England
Adem Ljajić,Serbia,22,MF, (1991-09-29),29,6,Torino,Italy
Marko Dmitrović,Serbia,23,GK, (1992-01-24),2,0,Eibar,Spain
