Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Fernando Muslera,Uruguay,1,GK, (1986-06-16),97,0,Galatasaray,Turkey
José Giménez,Uruguay,2,DF, (1995-01-20),42,5,Atlético Madrid,Spain
Diego Godín (captain),Uruguay,3,DF, (1986-02-16),116,8,Atlético Madrid,Spain
Guillermo Varela,Uruguay,4,DF, (1993-03-24),3,0,Peñarol,Uruguay
Carlos Sánchez,Uruguay,5,MF, (1984-12-02),36,1,Monterrey,Mexico
Rodrigo Bentancur,Uruguay,6,MF, (1997-06-25),7,0,Juventus,Italy
Cristian Rodríguez,Uruguay,7,MF, (1985-09-30),105,11,Peñarol,Uruguay
Nahitan Nández,Uruguay,8,MF, (1995-12-28),12,0,Boca Juniors,Argentina
Luis Suárez,Uruguay,9,FW, (1987-01-24),98,51,Barcelona,Spain
Giorgian De Arrascaeta,Uruguay,10,FW, (1994-06-01),14,2,Cruzeiro,Brazil
Cristhian Stuani,Uruguay,11,FW, (1986-10-12),41,5,Girona,Spain
Martín Campaña,Uruguay,12,GK, (1989-05-29),1,0,Independiente,Argentina
Gastón Silva,Uruguay,13,DF, (1994-03-05),17,0,Independiente,Argentina
Lucas Torreira,Uruguay,14,MF, (1996-02-11),3,0,Sampdoria,Italy
Matías Vecino,Uruguay,15,MF, (1991-08-24),22,1,Inter Milan,Italy
Maxi Pereira,Uruguay,16,DF, (1984-06-08),125,3,Porto,Portugal
Diego Laxalt,Uruguay,17,MF, (1993-02-07),6,0,Genoa,Italy
Maxi Gómez,Uruguay,18,FW, (1996-08-14),5,0,Celta Vigo,Spain
Sebastián Coates,Uruguay,19,DF, (1990-10-07),30,1,Sporting CP,Portugal
Jonathan Urretaviscaya,Uruguay,20,FW, (1990-03-19),4,0,Monterrey,Mexico
Edinson Cavani,Uruguay,21,FW, (1987-02-14),101,42,Paris Saint-Germain,France
Martín Cáceres,Uruguay,22,DF, (1987-04-07),76,4,Lazio,Italy
Martín Silva,Uruguay,23,GK, (1983-03-25),11,0,Vasco da Gama,Brazil
