Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Hernán Galíndez,Ecuador,1,GK, (1987-03-30),12,0,Aucas,Ecuador,2022-11-20
Félix Torres,Ecuador,2,DF, (1997-01-11),17,2,Santos Laguna,Mexico,2022-11-20
Piero Hincapié,Ecuador,3,DF, (2002-01-09),21,1,Bayer Leverkusen,Germany,2022-11-20
Robert Arboleda,Ecuador,4,DF, (1991-10-22),33,2,São Paulo,Brazil,2022-11-20
José Cifuentes,Ecuador,5,MF, (1999-03-12),11,0,Los Angeles FC,United States,2022-11-20
William Pacho,Ecuador,6,DF, (2001-10-16),0,0,Antwerp,Belgium,2022-11-20
Pervis Estupiñán,Ecuador,7,DF, (1998-01-21),28,3,Brighton & Hove Albion,England,2022-11-20
Carlos Gruezo,Ecuador,8,MF, (1995-04-19),46,1,FC Augsburg,Germany,2022-11-20
Ayrton Preciado,Ecuador,9,MF, (1994-07-17),27,3,Santos Laguna,Mexico,2022-11-20
Romario Ibarra,Ecuador,10,MF, (1994-09-24),25,3,Pachuca,Mexico,2022-11-20
Michael Estrada,Ecuador,11,FW, (1996-04-07),36,8,Cruz Azul,Mexico,2022-11-20
Moisés Ramírez,Ecuador,12,GK, (2000-09-09),2,0,Independiente del Valle,Ecuador,2022-11-20
Enner Valencia (captain),Ecuador,13,FW, (1989-11-04),74,35,Fenerbahçe,Turkey,2022-11-20
Xavier Arreaga,Ecuador,14,DF, (1994-09-28),18,1,Seattle Sounders FC,United States,2022-11-20
Ángel Mena,Ecuador,15,MF, (1988-01-21),46,7,León,Mexico,2022-11-20
Jeremy Sarmiento,Ecuador,16,MF, (2002-06-16),9,0,Brighton & Hove Albion,England,2022-11-20
Ángelo Preciado,Ecuador,17,DF, (1998-02-18),24,0,Genk,Belgium,2022-11-20
Diego Palacios,Ecuador,18,DF, (1999-07-12),12,0,Los Angeles FC,United States,2022-11-20
Gonzalo Plata,Ecuador,19,MF, (2000-11-01),30,5,Valladolid,Spain,2022-11-20
Sebas Méndez,Ecuador,20,MF, (1997-04-26),32,0,Los Angeles FC,United States,2022-11-20
Alan Franco,Ecuador,21,MF, (1998-08-21),25,1,Talleres,Argentina,2022-11-20
Alexander Domínguez,Ecuador,22,GK, (1987-06-05),68,0,LDU Quito,Ecuador,2022-11-20
Moisés Caicedo,Ecuador,23,MF, (2001-11-02),25,2,Brighton & Hove Albion,England,2022-11-20
Djorkaeff Reasco,Ecuador,24,FW, (1999-01-18),4,0,Newell's Old Boys,Argentina,2022-11-20
Jackson Porozo,Ecuador,25,DF, (2000-08-04),5,0,Troyes,France,2022-11-20
Kevin Rodríguez,Ecuador,26,FW, (2000-03-04),1,0,Imbabura,Ecuador,2022-11-20
