Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Hugo Lloris (captain),France,1,GK, (1986-12-26),139,0,Tottenham Hotspur,England
Benjamin Pavard,France,2,DF, (1996-03-28),46,2,Bayern Munich,Germany
Axel Disasi,France,3,DF, (1998-03-11),0,0,Monaco,France
Raphaël Varane,France,4,DF, (1993-04-25),87,5,Manchester United,England
Jules Koundé,France,5,DF, (1998-11-12),12,0,Barcelona,Spain
Matteo Guendouzi,France,6,MF, (1999-04-14),6,1,Marseille,France
Antoine Griezmann,France,7,FW, (1991-03-21),110,42,Atlético Madrid,Spain
Aurélien Tchouaméni,France,8,MF, (2000-01-27),14,1,Real Madrid,Spain
Olivier Giroud,France,9,FW, (1986-09-30),114,49,Milan,Italy
Kylian Mbappé,France,10,FW, (1998-12-20),59,28,Paris Saint-Germain,France
Ousmane Dembélé,France,11,FW, (1997-05-15),28,4,Barcelona,Spain
Randal Kolo Muani,France,12,FW, (1998-12-05),2,0,Eintracht Frankfurt,Germany
Youssouf Fofana,France,13,MF, (1999-01-10),2,0,Monaco,France
Adrien Rabiot,France,14,MF, (1995-04-03),29,2,Juventus,Italy
Jordan Veretout,France,15,MF, (1993-03-01),5,0,Marseille,France
Steve Mandanda,France,16,GK, (1985-03-28),34,0,Rennes,France
William Saliba,France,17,DF, (2001-03-24),7,0,Arsenal,England
Dayot Upamecano,France,18,DF, (1998-10-27),7,1,Bayern Munich,Germany
Karim Benzema,France,19,FW, (1987-12-19),97,37,Real Madrid,Spain
Kingsley Coman,France,20,FW, (1996-06-13),40,5,Bayern Munich,Germany
Lucas Hernandez,France,21,DF, (1996-02-14),32,0,Bayern Munich,Germany
Théo Hernandez,France,22,DF, (1997-10-06),7,1,Milan,Italy
Alphonse Areola,France,23,GK, (1993-02-27),5,0,West Ham United,England
Ibrahima Konaté,France,24,DF, (1999-05-25),2,0,Liverpool,England
Eduardo Camavinga,France,25,MF, (2002-11-10),4,1,Real Madrid,Spain
Marcus Thuram,France,26,FW, (1997-08-06),4,0,Borussia Mönchengladbach,Germany
