Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Alireza Beiranvand,Iran,1,GK, (1992-09-21),52,0,Persepolis,Iran,2022-11-20
Sadegh Moharrami,Iran,2,DF, (1996-03-01),21,0,Dinamo Zagreb,Croatia,2022-11-20
Ehsan Hajsafi (captain),Iran,3,DF, (1990-02-25),121,7,AEK Athens,Greece,2022-11-20
Shojae Khalilzadeh,Iran,4,DF, (1989-05-14),25,1,Al-Ahli Doha,Qatar,2022-11-20
Milad Mohammadi,Iran,5,DF, (1993-09-29),45,1,AEK Athens,Greece,2022-11-20
Saeid Ezatolahi,Iran,6,MF, (1996-10-01),47,1,Vejle,Denmark,2022-11-20
Alireza Jahanbakhsh,Iran,7,MF, (1993-08-11),64,13,Feyenoord,Netherlands,2022-11-20
Morteza Pouraliganji,Iran,8,DF, (1992-04-19),46,3,Persepolis,Iran,2022-11-20
Mehdi Taremi,Iran,9,FW, (1992-07-18),60,28,Porto,Portugal,2022-11-20
Karim Ansarifard,Iran,10,FW, (1990-04-03),94,29,Omonia,Cyprus,2022-11-20
Vahid Amiri,Iran,11,MF, (1988-04-02),68,2,Persepolis,Iran,2022-11-20
Payam Niazmand,Iran,12,GK, (1995-04-06),1,0,Sepahan,Iran,2022-11-20
Hossein Kanaanizadegan,Iran,13,DF, (1994-03-23),35,2,Al-Ahli Doha,Qatar,2022-11-20
Saman Ghoddos,Iran,14,MF, (1993-09-06),33,2,Brentford,England,2022-11-20
Rouzbeh Cheshmi,Iran,15,DF, (1993-07-24),19,1,Esteghlal,Iran,2022-11-20
Mehdi Torabi,Iran,16,MF, (1994-09-10),36,7,Persepolis,Iran,2022-11-20
Ali Gholizadeh,Iran,17,MF, (1996-03-10),26,6,Charleroi,Belgium,2022-11-20
Ali Karimi,Iran,18,MF, (1994-02-11),13,0,Kayserispor,Turkey,2022-11-20
Majid Hosseini,Iran,19,DF, (1996-06-20),18,0,Kayserispor,Turkey,2022-11-20
Sardar Azmoun,Iran,20,FW, (1995-01-01),65,41,Bayer Leverkusen,Germany,2022-11-20
Ahmad Nourollahi,Iran,21,MF, (1993-02-01),25,3,Shabab Al-Ahli,United Arab Emirates,2022-11-20
Amir Abedzadeh,Iran,22,GK, (1993-04-26),11,0,Ponferradina,Spain,2022-11-20
Ramin Rezaeian,Iran,23,DF, (1990-03-21),46,2,Sepahan,Iran,2022-11-20
Hossein Hosseini,Iran,24,GK, (1992-06-30),6,0,Esteghlal,Iran,2022-11-20
Abolfazl Jalali,Iran,25,DF, (1998-06-26),3,0,Esteghlal,Iran,2022-11-20
