Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Mohammed Al-Rubaie,Saudi Arabia,1,GK, (1997-08-14),7,0,Al-Ahli,Saudi Arabia,2022-11-20
Sultan Al-Ghannam,Saudi Arabia,2,DF, (1994-05-06),24,0,Al-Nassr,Saudi Arabia,2022-11-20
Abdullah Madu,Saudi Arabia,3,DF, (1993-07-15),15,0,Al-Nassr,Saudi Arabia,2022-11-20
Abdulelah Al-Amri,Saudi Arabia,4,DF, (1997-01-15),20,1,Al-Nassr,Saudi Arabia,2022-11-20
Ali Al-Bulaihi,Saudi Arabia,5,DF, (1989-11-21),37,0,Al-Hilal,Saudi Arabia,2022-11-20
Mohammed Al-Breik,Saudi Arabia,6,DF, (1992-09-15),40,1,Al-Hilal,Saudi Arabia,2022-11-20
Salman Al-Faraj (captain),Saudi Arabia,7,MF, (1989-08-01),70,8,Al-Hilal,Saudi Arabia,2022-11-20
Abdulellah Al-Malki,Saudi Arabia,8,MF, (1994-10-11),27,0,Al-Hilal,Saudi Arabia,2022-11-20
Firas Al-Buraikan,Saudi Arabia,9,FW, (2000-05-14),26,6,Al-Fateh,Saudi Arabia,2022-11-20
Salem Al-Dawsari,Saudi Arabia,10,FW, (1991-08-19),71,17,Al-Hilal,Saudi Arabia,2022-11-20
Saleh Al-Shehri,Saudi Arabia,11,FW, (1993-11-01),20,10,Al-Hilal,Saudi Arabia,2022-11-20
Saud Abdulhamid,Saudi Arabia,12,DF, (1999-07-18),23,1,Al-Hilal,Saudi Arabia,2022-11-20
Yasser Al-Shahrani,Saudi Arabia,13,DF, (1992-05-25),72,2,Al-Hilal,Saudi Arabia,2022-11-20
Abdullah Otayf,Saudi Arabia,14,MF, (1992-08-03),45,1,Al-Hilal,Saudi Arabia,2022-11-20
Ali Al-Hassan,Saudi Arabia,15,MF, (1997-03-04),13,1,Al-Nassr,Saudi Arabia,2022-11-20
Sami Al-Najei,Saudi Arabia,16,MF, (1997-02-07),17,2,Al-Nassr,Saudi Arabia,2022-11-20
Hassan Al-Tambakti,Saudi Arabia,17,DF, (1999-02-09),19,0,Al-Shabab,Saudi Arabia,2022-11-20
Nawaf Al-Abed,Saudi Arabia,18,MF, (1990-01-26),55,8,Al-Shabab,Saudi Arabia,2022-11-20
Hattan Bahebri,Saudi Arabia,19,FW, (1992-07-16),41,4,Al-Shabab,Saudi Arabia,2022-11-20
Abdulrahman Al-Aboud,Saudi Arabia,20,FW, (1995-06-01),3,0,Al-Ittihad,Saudi Arabia,2022-11-20
Mohammed Al-Owais,Saudi Arabia,21,GK, (1991-10-10),42,0,Al-Hilal,Saudi Arabia,2022-11-20
Nawaf Al-Aqidi,Saudi Arabia,22,GK, (2000-05-10),0,0,Al-Nassr,Saudi Arabia,2022-11-20
Mohamed Kanno,Saudi Arabia,23,MF, (1994-09-22),38,1,Al-Hilal,Saudi Arabia,2022-11-20
Nasser Al-Dawsari,Saudi Arabia,24,MF, (1998-12-19),10,0,Al-Hilal,Saudi Arabia,2022-11-20
Haitham Asiri,Saudi Arabia,25,FW, (2001-03-25),8,1,Al-Ahli,Saudi Arabia,2022-11-20
Riyadh Sharahili,Saudi Arabia,26,MF, (1993-04-28),5,0,Abha,Saudi Arabia,2022-11-20
