Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Seny Dieng,Senegal,1,GK, (1994-11-23),4,0,Queens Park Rangers,England,2022-11-20
Formose Mendy,Senegal,2,DF, (2001-01-02),2,0,Amiens,France,2022-11-20
Kalidou Koulibaly (captain),Senegal,3,DF, (1991-06-20),64,0,Chelsea,England,2022-11-20
Pape Abou Cissé,Senegal,4,DF, (1995-09-14),13,1,Olympiacos,Greece,2022-11-20
Idrissa Gueye,Senegal,5,MF, (1989-09-26),96,7,Everton,England,2022-11-20
Nampalys Mendy,Senegal,6,MF, (1992-06-23),19,0,Leicester City,England,2022-11-20
Nicolas Jackson,Senegal,7,FW, (2001-06-20),0,0,Villarreal,Spain,2022-11-20
Cheikhou Kouyaté,Senegal,8,DF, (1989-12-21),83,4,Nottingham Forest,England,2022-11-20
Boulaye Dia,Senegal,9,FW, (1996-11-16),19,3,Salernitana,Italy,2022-11-20
Moussa N'Diaye,Senegal,10,DF, (2002-06-18),0,0,Anderlecht,Belgium,2022-11-20
Pathé Ciss,Senegal,11,MF, (1994-03-16),1,0,Rayo Vallecano,Spain,2022-11-20
Fodé Ballo-Touré,Senegal,12,DF, (1997-01-03),14,0,Milan,Italy,2022-11-20
Iliman Ndiaye,Senegal,13,FW, (2000-03-06),2,0,Sheffield United,England,2022-11-20
Ismail Jakobs,Senegal,14,DF, (1999-08-17),2,0,Monaco,France,2022-11-20
Krépin Diatta,Senegal,15,MF, (1999-02-25),26,2,Monaco,France,2022-11-20
Édouard Mendy,Senegal,16,GK, (1992-03-01),25,0,Chelsea,England,2022-11-20
Pape Matar Sarr,Senegal,17,MF, (2002-09-14),10,0,Tottenham Hotspur,England,2022-11-20
Ismaïla Sarr,Senegal,18,FW, (1998-02-25),48,10,Watford,England,2022-11-20
Famara Diédhiou,Senegal,19,FW, (1992-12-15),25,10,Alanyaspor,Turkey,2022-11-20
Bamba Dieng,Senegal,20,FW, (2000-03-23),13,1,Marseille,France,2022-11-20
Youssouf Sabaly,Senegal,21,DF, (1993-03-05),24,0,Real Betis,Spain,2022-11-20
Abdou Diallo,Senegal,22,DF, (1996-05-04),18,2,RB Leipzig,Germany,2022-11-20
Alfred Gomis,Senegal,23,GK, (1993-09-05),13,0,Rennes,France,2022-11-20
Moustapha Name,Senegal,24,DF, (1995-05-05),6,0,Pafos,Cyprus,2022-11-20
Mamadou Loum,Senegal,25,MF, (1996-12-30),3,0,Reading,England,2022-11-20
Pape Gueye,Senegal,26,MF, (1999-01-24),12,0,Marseille,France,2022-11-20
