Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Wayne Hennessey,Wales,1,GK, (1987-01-24),106,0,Nottingham Forest,England,2022-11-20
Chris Gunter,Wales,2,DF, (1989-07-21),109,0,AFC Wimbledon,England,2022-11-20
Neco Williams,Wales,3,DF, (2001-04-13),23,2,Nottingham Forest,England,2022-11-20
Ben Davies,Wales,4,DF, (1993-04-24),74,1,Tottenham Hotspur,England,2022-11-20
Chris Mepham,Wales,5,DF, (1997-11-05),33,0,Bournemouth,England,2022-11-20
Joe Rodon,Wales,6,DF, (1997-10-22),30,0,Rennes,France,2022-11-20
Joe Allen,Wales,7,MF, (1990-03-14),72,2,Swansea City,Wales,2022-11-20
Harry Wilson,Wales,8,MF, (1997-03-22),39,5,Fulham,England,2022-11-20
Brennan Johnson,Wales,9,FW, (2001-05-23),15,2,Nottingham Forest,England,2022-11-20
Aaron Ramsey,Wales,10,MF, (1990-12-26),75,20,Nice,France,2022-11-20
Gareth Bale (captain),Wales,11,FW, (1989-07-16),108,40,Los Angeles FC,United States,2022-11-20
Danny Ward,Wales,12,GK, (1993-06-22),26,0,Leicester City,England,2022-11-20
Kieffer Moore,Wales,13,FW, (1992-08-08),28,9,Bournemouth,England,2022-11-20
Connor Roberts,Wales,14,DF, (1995-09-23),41,3,Burnley,England,2022-11-20
Ethan Ampadu,Wales,15,DF, (2000-09-14),37,0,Spezia,Italy,2022-11-20
Joe Morrell,Wales,16,MF, (1997-01-03),30,0,Portsmouth,England,2022-11-20
Tom Lockyer,Wales,17,DF, (1994-12-03),14,0,Luton Town,England,2022-11-20
Jonny Williams,Wales,18,MF, (1993-10-09),33,2,Swindon Town,England,2022-11-20
Mark Harris,Wales,19,FW, (1998-12-29),5,0,Cardiff City,Wales,2022-11-20
Daniel James,Wales,20,FW, (1997-11-10),38,5,Fulham,England,2022-11-20
Adam Davies,Wales,21,GK, (1992-07-17),4,0,Sheffield United,England,2022-11-20
Sorba Thomas,Wales,22,MF, (1999-01-25),6,0,Huddersfield Town,England,2022-11-20
Dylan Levitt,Wales,23,MF, (2000-11-17),13,0,Dundee United,Scotland,2022-11-20
Ben Cabango,Wales,24,DF, (2000-05-30),5,0,Swansea City,Wales,2022-11-20
Rubin Colwill,Wales,25,MF, (2002-04-27),7,1,Cardiff City,Wales,2022-11-20
Matthew Smith,Wales,26,MF, (1999-11-22),19,0,Milton Keynes Dons,England,2022-11-20
